9,12,39,0.00,-0.08,-0.00,0.00,3.29,0.00
9,12,51,0.00,0.01,0.00,0.00,3.87,0.01
9,12,52,0.00,0.03,0.00,0.00,3.09,0.01
9,12,53,0.00,0.02,-0.00,0.00,3.18,0.01
9,12,54,0.00,0.01,0.00,0.00,3.93,0.01
9,12,55,0.00,0.02,0.00,0.00,3.43,0.00
9,12,57,0.00,0.01,0.00,0.00,3.86,0.01
9,12,58,0.00,0.02,0.00,0.00,2.90,0.01
9,12,59,0.00,0.00,0.00,0.00,3.28,0.01
9,13,0,0.00,0.00,-0.00,0.00,3.79,0.01
9,13,1,0.00,0.01,0.00,0.00,3.70,0.00
9,13,2,0.00,0.01,0.00,0.00,2.99,0.01
9,13,4,0.00,0.01,0.00,0.00,3.14,0.01
9,13,5,0.00,0.01,0.00,0.00,4.00,0.00
9,13,6,0.00,0.00,0.00,0.00,3.16,0.01
9,13,7,0.00,0.02,-0.00,0.00,3.82,0.00
9,13,8,0.00,0.00,-0.00,0.00,3.12,0.01
9,13,10,0.00,0.00,-0.00,0.00,3.03,0.00
9,13,11,0.00,0.03,0.00,0.00,4.01,0.01
9,13,12,0.00,0.01,0.00,0.00,3.43,0.01
9,13,13,0.00,0.02,-0.00,0.00,3.23,0.01
9,13,14,0.00,0.03,0.00,0.00,3.92,0.01
9,13,16,0.00,0.02,-0.00,0.00,3.03,0.00
9,13,17,0.00,0.02,0.00,0.00,3.46,0.00
9,13,18,0.00,0.01,0.00,0.00,3.50,0.01
9,13,19,0.00,0.01,-0.00,0.00,2.96,0.01
9,13,20,0.00,0.02,0.00,0.00,3.98,0.01
9,13,21,0.00,0.00,0.00,0.00,3.12,0.01
9,13,23,0.00,0.04,0.00,0.00,4.00,0.01
9,13,24,0.00,0.02,-0.00,0.00,3.08,0.00
9,13,25,0.00,0.00,-0.00,0.00,3.53,0.00
9,13,26,0.00,0.01,0.00,0.00,3.88,0.01
9,13,27,0.00,0.02,0.00,0.00,2.98,0.00
9,13,29,0.00,0.02,0.00,0.00,3.50,0.00
9,13,30,0.00,0.03,0.00,0.01,3.74,0.02
9,13,31,0.00,0.03,0.00,0.00,2.91,0.00
9,13,32,0.00,0.02,0.00,0.00,3.36,0.01
9,13,33,0.00,0.01,0.00,0.00,3.96,0.01
9,13,34,0.00,0.03,0.00,0.00,3.00,0.00
9,13,36,0.00,0.03,0.00,0.00,3.70,0.01
9,13,37,0.00,0.02,0.00,0.00,2.99,0.01
9,13,38,0.00,0.02,0.00,0.00,3.87,0.01
9,13,39,0.00,0.02,0.00,0.00,3.71,0.01
